Date,Username,Tweet,Id
Date,Username,Tweet,ID
2024-07-12 20:36:56+00:00,978495743055953920," and i can spot a race grifter from a mile away 

but amuse me why do you think that scott is critical of dei

btw hes not a racist registered democrats cant be racist right",
2024-07-12 20:31:53+00:00,1421745636186144769," another black privileged critical race theory phaggot 

i guess racism is only when white people involved right",
2024-07-12 22:54:43+00:00,3068872501, noooooo  live and let live man my pizza my choice say no to cancel culture support pineapple growers,1.8118970014176256e+18
2024-07-12 22:53:14+00:00,1307718087802867718,"rt  eminems meta cancel culture commentary

its interesting to see eminem try to ignite some controversy again almost as i",1.811896630653682e+18
2024-07-12 22:52:56+00:00,2977449327,this whole billie eilish is appropriating black culture discourse is so wild to me bc this is exactly why ppl say u have victim complexes sorry but what the fuck ur rly gonna try to cancel ppl for wearing baggy clothes bc oh oh oh black people did it first huh,1.811896554770367e+18
2024-07-12 22:52:12+00:00,41751811," nothing says a political party is for the people more than when they resort to the totalitarian tools of

deceptive propaganda
disinformation
censorship of truth
cancel culture
legal system weaponization
lawfare",1.811896369847665e+18
2024-07-12 22:51:53+00:00,1193568890271326208," refusing to acknowledge that what israel is doing is bad is considering cancel culture 

i rather not know what you believe isnt ",1.811896287937332e+18
2024-07-12 22:51:11+00:00,21601866,rt   i was thinking cancel culture was out to get you it took longer than other birds but its a pet your,1.811896113445688e+18
2024-07-12 22:51:09+00:00,1586518367049056261, personally i think em is the goat but when it comes to politics hes got that michigan mindset everything he complains about on his new album actually comes from the left imagine complaining about cancel culturebeing banned on twitter when your sides the one doing it,1.8118961057952604e+18
2024-07-12 22:51:00+00:00,1247336500804476928,"im gen z and i like eminem being crass
cancel culture is nothing more than a power trip by people who believe that everything will cow tow to them",1.811896067300221e+18
2024-07-12 22:50:55+00:00,1660483145261633538, tasha and austin are the first real victims of cancel culture,1.8118960461399004e+18
2024-07-12 22:49:56+00:00,1521492943944757249,ill say it rn if   doesnt win every damn award possible for this album its proves the music industry is lying cancel culture won amp art is dead bc no one will come close not this year we not taking anymore applications right now the position has been filled ,1.811895798247965e+18
2024-07-12 22:57:49+00:00,1677793133902307328, thats actually such a big win for freedom of speech,1.811897784162718e+18
2024-07-12 22:57:28+00:00,225858323,"rt  elon musk accuses the eu of offering  a secret deal to censor speech without fines which  refused

thank you for fightin",1.8118976938805865e+18
2024-07-12 22:57:27+00:00,1094396285069807616,rt   we know well what the eu wants to do with our profiles they want to silence us because we tell uncomfortable tru,1.811897689191154e+18
2024-07-12 22:57:21+00:00,1152419235676577792,terrible to have freedom of speech  ,1.811897666089128e+18
2024-07-12 22:56:56+00:00,831886956908933121,for those that dont understand who started the war in ukraine this is a very well articulated explanation  more importantly its the us censorship industrial complex that has moved against our freedom of speech in response to the blowback of events they pushed in 2014 ,1.8118975613616049e+18
2024-07-12 22:56:43+00:00,1735811985009225728," one of the if not the most important issue of our time

people dont understand that freedom of speech is a tiny infant flame in the history of humanity

there are those who want to snuff it out

that flame is the united states of america",1.8118975041091305e+18
2024-07-12 22:56:27+00:00,1329473180570841088,"rt  stop pressuring the boys to speak abt palestine dont you know they are not allowed to talk abt politics 

why are",1.8118974382881183e+18
2024-07-12 22:56:24+00:00,1182074859754528769,  i bet hes negotiated the same money on three days as he was on 4 days  and too right he deserves it hes now an even bigger superstar and deserves the money fame and opportunity for freedom of speech to promote his cause and reforming britain,1.81189742775185e+18
2024-07-12 22:56:24+00:00,1568641273455689728, elon is always correct in my opinion  he loves the people of every country and he loves freedom of speech and choice,1.811897427407823e+18
2024-07-12 22:56:07+00:00,1487078351923826700, shes definitely got a right to freedom of speech and expression and thats her constitutional rights,1.811897354389496e+18
2024-07-12 22:55:47+00:00,906227482700812288,"rt     

 will decimate amp violate your civil rights amp civil liberties

youll lose yo",1.8118972714345103e+18
2024-07-12 22:55:46+00:00,2985634947,"rt  the internet is the most revolutionary information technology since the printing press

 and  are at the f",1.811897265797161e+18
2024-07-12 22:55:39+00:00,1177251648000974848,  you are now a totalitarian machine trying to control a gift the usa a freedom of expression speech country  gave to you ,1.8118972386308508e+18
2024-07-12 22:55:34+00:00,383232534,rt  south africans have  profound freedom of speech you can vloek and insult the president  or any other politician  and noth,1.8118972165853025e+18
2024-07-12 22:55:32+00:00,1247234032859054080,rt  the launching of biafra app is fast approaching are you all ready to enjoy freedom of speech livestream video chat vo,1.811897207920165e+18
2024-07-12 22:55:29+00:00,1321289399775174658,rt  excerpt taken from a speech delivered by renowned military commander and strategist general tefera mamo over a week afte,1.8118971953078927e+18
2024-07-12 22:55:20+00:00,78871181,rt    i really hope a lawyer will help this man he was assaulted by several policeman that is a di,1.811897158599164e+18
2024-07-12 22:55:14+00:00,1647778957654216705, freedom of speech,1.811897133769118e+18
2024-07-12 22:55:08+00:00,28190919,rt  x suspended her account permanently while she was on a 7 day temporary suspension i just dont know what to do with all of thi,1.811897109311792e+18
2024-07-12 22:54:38+00:00,1267392062401458176, the autocrats dont like the freedom of speech thanks elon for giving us x,1.811896980316025e+18
2024-07-12 22:54:30+00:00,1727699899096166401, weaponizing freedom of speech where opinions favorable to nato are deemed free while those unfavorable are censored or starved of visibility ,1.811896947374195e+18
2024-07-12 22:54:26+00:00,19462906,rt  it goes without saying that if  fires  for speech in defense of palestinian rights and students who,1.8118969293887903e+18
2024-07-12 22:54:13+00:00,1437524407,rt  everyone knows that both free speech and propaganda misinformation are powerful but censorship is way way more powerfu,1.8118968763939924e+18
2024-07-12 22:53:54+00:00,1740930806766288896,yeah elon did launch one of his freedom of speech things in order to blow another smoke screen i still have a lot of retweets that i cannot un retweet as i am going through the checklist of the vertebration of time twitter has done this before the purchase and after  pattycake,1.811896797037532e+18
2024-07-12 22:53:42+00:00,1739440598484996096,  freedom of speech,1.811896748714976e+18
2024-07-12 22:53:37+00:00,1548707637600157699,rt  i feel like more people should be alarmed at the increasing curtailing of freedom of speech amp protest rights in australia,1.811896724082033e+18
2024-07-12 22:53:07+00:00,1380438947600474118, what is free speech without freedom of teach elon what is it why do you separate the one into two freedom is about what this book from amazon says read it ,1.8118965998507013e+18
2024-07-12 22:53:04+00:00,1438796528269856771,  they really cannot stand the fact that you have given people the power of freedom of speech  its disgraceful we  could not thank you enough for fighting back against the tyranny of the governments and official bodies trying to deprive us from our freedoms,1.811896589100647e+18
2024-07-12 22:53:01+00:00,1806718850538557440,freedom of speech for europe ,1.8118965757040689e+18
2024-07-12 22:53:00+00:00,1800701491352903680,you can thank the animejugend that its been months since you last saw a post with norman rockwells freedom of speech and some caption along the lines of uhhh i think women are good actually,1.8118965695638733e+18
2024-07-12 22:52:44+00:00,1516570111003484167,"rt  caw  the future of decentralized social media

a communitydriven project to bring freedom selfawareness and privacy to",1.8118965054159224e+18
2024-07-12 22:52:30+00:00,1433753365977214977,rt  systematically the eu commission led by ursula von der leyen  tries to suppress the freedom of speech particula,1.81189644615048e+18
2024-07-12 22:52:29+00:00,1496859762872487946, freedom of speech classical science logical thinking family are dying before our eyes it is so sad whatever will happen you will be remembered as a good guy  thank you elon,1.8118964396828145e+18
2024-07-12 22:52:25+00:00,1246655129941684225, oh elon if only youd finally figure out the difference between freedom of opinion which needs to be protected at all cost amp freedom of speech which is often used as a sorry excuse for hate speech and misinformation youre protecting people who spread hate amp misinformation,1.8118964255689933e+18
2024-07-12 22:52:19+00:00,1553309123206385666,    to save freedom of speech well i say its worth it,1.81189639865018e+18
2024-07-12 22:51:54+00:00,1315582550, eminem is dissing candice owens and maga thats who his true fans are he is sticking up for the side that will cancel him over his lyrics what happened to freedom of speech em you are not black eminem and you never will be by dissing your true fan base,1.8118962922153413e+18
2024-07-12 22:51:50+00:00,1675517363066658817, biggest switch up from standing up for freedom of speech to now calling for censorship and banning anonymous accounts crazy also his imaginary idea of ppl on twt is inaccurate and dehumanizing,1.811896275786212e+18
2024-07-12 22:51:19+00:00,1043475657773273089,rt  the amount of racism on this app against indians ever since elon musk took over is insane earlier this wouldve been flagge,1.8118961485813312e+18
2024-07-12 22:51:16+00:00,1595888113506693120, i wanted to clarify this question what you mean elon given me personally in terms of love for this country and humanity he had done so much not only to me but all of us he helped all of us to protect our very freedom of speech  he provides his innovation and passion on space,1.8118961339937915e+18
2024-07-12 22:51:12+00:00,289202543,translation we want tighter suppression of palestinian voices x is not complying enough we want freedom of speech and by speech we mean our speech only ,1.8118961166626737e+18
2024-07-12 22:50:56+00:00,1811832230039183361,rt  what happened to freedom of speech damn  ,1.811896049793139e+18
2024-07-12 22:50:50+00:00,996936270617100288,"rt  the freedom of speech is paramount in the parliament 

speaker lok sabha has the right to expunge the words it is gove",1.8118960246399268e+18
2024-07-12 22:50:46+00:00,2574487012,"rt  americans wake up  you are losing freedom of speech 

via  ",1.8118960077114767e+18
2024-07-12 22:50:46+00:00,1562633854443069442, i dont care as long as you keep freedom of speech as your highest good,1.811896006574854e+18
2024-07-12 22:50:37+00:00,1593981915463303172, i consider the gift of freedomfree speech the greatest gift one could give   and i thank you,1.811895970793424e+18
2024-07-12 22:50:28+00:00,1251748062,"rt   lets goooo   and please also buy   lol 

freedom of speech 
freedom of the truth",1.811895933241905e+18
2024-07-12 22:50:22+00:00,1795113217544343556, youre already censoring anyone criticising israel or raising a voice against the attrocities shove your freedom of speech bs up your ass,1.8118959071865736e+18
2024-07-12 22:50:12+00:00,1777632228513837056, i was under the impression that we lived in a freedom of speech system looks like the opposite is true,1.811895867408024e+18
